"FEATURE,N,8,0","IDINCENDIO,N,10,5","NUMPARTE,N,12,5","FECHA,C,4","CMUNICIPIO,N,5,0","MUNICIPIO,C,100","FECHAEXTIN,C,10","SUPFOREST,N,19,2","SUPQUEMADA,N,19,2","SUPDIBUJO,N,19,2","GEOM_AREA,N,19,2","GEOM_PERI,N,19,2","BEGINLIFE,C,10"
30200036,191,2009310119,2009,50,Baztan,16/03/2009,6,6,8.27,82696.76,2058.84,01/01/2020
30200036,195,2009310141,2009,50,Baztan,18/03/2009,2,2,2.47,24659.14,612.14,01/01/2020
30200036,196,2009310577,2009,140,Lantz,20/02/2009,7.9,7.9,8.46,84612.55,1198.05,01/01/2020
30200036,197,2009310143,2009,50,Baztan,18/03/2009,3,3,4.15,41487.68,789.88,01/01/2020
30200036,198,2009310151,2009,84,Etxarri Aranatz,20/03/2009,51.37,51.37,2.18,21824.31,659.87,01/01/2020
30200036,199,2009310151,2009,91,Ergoiena,20/03/2009,51.37,51.37,53.92,539160.29,5038.2,01/01/2020
30200036,202,2009310163,2009,50,Baztan,19/03/2009,11,11,10.75,107455.52,2271.64,01/01/2020
30200036,203,2009310178,2009,50,Baztan,20/03/2009,16,16,26.27,262711.94,4307.28,01/01/2020
30200036,207,2009310179,2009,50,Baztan,20/03/2009,13,13,18.33,183298.13,3201.34,01/01/2020
30200036,208,2009310192,2009,81,Donamaria,21/03/2009,7,7,9.75,97455.89,1710.47,01/01/2020
30200036,209,2009310194,2009,50,Baztan,21/03/2009,25,25,26.6,266045.49,2791.3,01/01/2020
30200036,210,2009310196,2009,50,Baztan,21/03/2009,3,3,2.47,24694.75,1088.89,01/01/2020
30200036,213,2009310213,2009,50,Baztan,20/03/2009,100,100,120.24,1202396.92,6098.67,01/01/2020
30200036,214,2009310250,2009,50,Baztan,27/03/2009,1,1,2.49,24948.68,1026.54,01/01/2020
30200036,215,2009310264,2009,50,Baztan,14/03/2009,6,6,8.43,84285.15,2386.66,01/01/2020
30200036,219,2009310265,2009,50,Baztan,14/03/2009,8,8,6.32,63171.11,1135.96,01/01/2020
30200036,220,2009310266,2009,50,Baztan,15/03/2009,17,17,17.49,174899.58,1826.52,01/01/2020
30200036,221,2009310267,2009,50,Baztan,19/03/2009,3.6,3.6,3.66,36593.78,1048.25,01/01/2020
30200036,222,2009310268,2009,137,Beintza-Labaien,22/03/2009,4,4,4.92,49224.73,831.8,01/01/2020
30200036,223,2009310000,2009,50,Baztan,21/03/2009,0,0,46.84,468365.41,4948.32,01/01/2020
30200036,224,2009310000,2009,50,Baztan,22/03/2009,0,0,0.72,7190.03,408.03,01/01/2020
30200036,225,2009310000,2009,50,Baztan,21/03/2009,0,0,0.46,4563.24,313.44,01/01/2020
30200036,226,2009310318,2009,137,Beintza-Labaien,02/04/2009,0.6,0.6,0.46,4552.37,280.18,01/01/2020
30200036,227,2009310319,2009,81,Donamaria,30/04/2009,1,1,2.17,21704.25,552.02,01/01/2020
30200036,228,2009310358,2009,905,Beriáin,28/05/2009,1.5,1.5,1.53,15319.58,550.43,01/01/2020
30200036,229,2009310391,2009,65,Caparroso,22/06/2009,7.5,7.5,9.61,96135.06,2120.9,01/01/2020
30200036,230,2009310399,2009,50,Baztan,29/06/2009,1.6,1.6,1.53,15276.19,546.78,01/01/2020
30200036,231,2009310403,2009,79,Desojo,30/06/2009,2.19,2.19,10.93,109301.79,1608.24,01/01/2020
30200036,232,2009310000,2009,50,Baztan,21/03/2009,0,0,18.06,180565.26,2715.58,01/01/2020
30200036,233,2009310000,2009,50,Baztan,21/03/2009,0,0,1.69,16941.71,823.91,01/01/2020
30200036,234,2009310542,2009,136,Juslapeña / Txulapain,23/07/2009,142.02,142.02,344.15,3441457.37,14276.62,01/01/2020
30200036,235,2009310426,2009,136,Juslapeña / Txulapain,16/07/2009,4.5,4.5,6.07,60661.85,1424.04,01/01/2020
30200036,236,2009310458,2009,71,Castillonuevo,07/07/2009,0.01,0.01,0.12,1230.06,270.36,01/01/2020
30200036,238,2009310455,2009,237,Unciti,22/07/2009,1.5,1.5,1.47,14731.12,803.26,01/01/2020
30200036,239,2009310423,2009,150,Leoz / Leotz,17/07/2009,28.8,28.8,34.72,347229.47,4530.92,01/01/2020
30200036,240,2009310410,2009,50,Baztan,03/07/2009,2.84,2.84,3.16,31629.78,899.78,01/01/2020
30200036,241,2009310465,2009,18,Añorbe,04/08/2009,4.06,4.06,13.86,138564.88,1633.59,01/01/2020
30200036,242,2009310506,2009,163,Marcilla,22/08/2009,0.22,0.22,0.29,2925.1,216.9,01/01/2020
30200036,243,2009310518,2009,227,Tafalla,24/08/2009,0.8,0.8,0.92,9186.81,364.8,01/01/2020
30200036,244,2009310531,2009,258,Villava / Atarrabia,30/08/2009,1.5,1.5,1.8,17956.33,744.19,01/01/2020
30200036,245,2009310538,2009,241,Urraúl Alto,31/08/2009,6.5,6.5,6.55,65515.25,1437.09,01/01/2020
30200036,246,2009310553,2009,194,Valle de Ollo / Ollaran,08/09/2009,0.43,0.43,0.47,4679.52,462.47,01/01/2020
30200036,247,2009310566,2009,50,Baztan,12/09/2009,7.5,7.5,5.33,53326.81,951.36,01/01/2020
30200036,248,2009310567,2009,50,Baztan,12/09/2009,1.9,1.9,1.72,17186.13,691.81,01/01/2020
30200036,249,2009310570,2009,97,Estella-Lizarra,13/09/2009,0.3,0.3,0.25,2481.61,224.01,01/01/2020
30200036,250,2009310593,2009,207,Pueyo / Puiu,29/09/2009,0.68,0.68,0.63,6346.1,625.19,01/01/2020
30200036,252,2009310629,2009,77,Corella,16/10/2009,1,1,4.78,47847.79,1716.61,01/01/2020
30200036,253,2009310637,2009,152,Lerín,19/10/2009,3,3,3.37,33748.03,743.9,01/01/2020
30200036,254,2009310646,2009,50,Baztan,14/11/2009,4,4,4.17,41718.86,792.5,01/01/2020
30200036,255,2009310657,2009,226,Sunbilla,25/11/2009,5.5,5.5,4.19,41890.33,1356.01,01/01/2020
30200036,257,2009310075,2009,50,Baztan,28/02/2009,28.5,28.5,6,60028.01,1203.66,01/01/2020
30200036,258,2009310058,2009,50,Baztan,28/02/2009,23,23,20.91,209080.7,1919.92,01/01/2020
30200036,259,2009310104,2009,195,Orbaizeta,15/03/2009,0.1,0.1,0.45,4485.86,335.97,01/01/2020
30200036,260,2009310115,2009,195,Orbaizeta,15/03/2009,4,4,4.09,40854.17,1306.68,01/01/2020
30200036,262,2009310158,2009,195,Orbaizeta,19/03/2009,5,5,2.73,27264.77,726.06,01/01/2020
30200036,263,2009310242,2009,112,Garaioa,27/03/2009,1.5,1.5,0.56,5597.98,295.26,01/01/2020
30200036,264,2009310237,2009,112,Garaioa,26/03/2009,2,2,3.11,31135.01,861.86,01/01/2020
30200036,265,2009310097,2009,112,Garaioa,13/03/2009,2.2,2.2,2.58,25808.92,679.53,01/01/2020
30200036,266,2009310157,2009,112,Garaioa,19/03/2009,7,7,3.11,31054.15,716.05,01/01/2020
30200036,267,2009310000,2009,112,Garaioa,13/03/2009,0,0,1.23,12293.52,505.93,01/01/2020
30200036,268,2010310008,2010,164,Mélida,28/01/2010,5,5,9.54,95443.39,4111.77,01/01/2020
30200036,269,2010310009,2010,78,Cortes,31/01/2010,0.06,0.06,0.16,1566.7,185.89,01/01/2020
30200036,270,2010310021,2010,50,Baztan,28/02/2010,10,10,8.94,89448.32,1725.82,01/01/2020
30200036,271,2010310028,2010,50,Baztan,26/02/2010,8.3,8.3,10.6,106006.99,2505.56,01/01/2020
30200036,272,2010310068,2010,30,Arellano,14/03/2010,0.64,0.64,0.64,6367.95,372.83,01/01/2020
30200036,273,2010310079,2010,248,Luzaide / Valcarlos,16/03/2010,5,5,5.64,56393.14,991.53,01/01/2020
30200036,274,2010310080,2010,120,Guesálaz / Gesalatz,16/03/2010,0.9,0.9,0.91,9081.22,397.21,01/01/2020
30200036,275,2010310094,2010,50,Baztan,17/03/2010,5,5,4.15,41493.38,1019.84,01/01/2020
30200036,276,2010310095,2010,244,Urroz,17/03/2010,22,22,30.21,302120.11,2422.26,01/01/2020
