Date,TotalSteps,TotalDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,type
2016-05-03,9454,7.67000007629395,0,0,313,729,3145,327.0,NonSleepers
2016-05-04,8161,6.61999988555908,4,15,251,757,3004,412.0,NonSleepers
2016-05-05,8614,6.98999977111816,8,5,241,745,3006,414.0,NonSleepers
2016-05-06,6943,5.63000011444092,1,16,207,682,2859,404.0,NonSleepers
2016-05-07,14370,11.6499996185303,5,46,439,577,3683,520.0,Sleepers
2016-05-07,14370,11.6499996185303,5,46,439,577,3683,520.0,Sleepers
2016-05-09,8232,6.67999982833862,0,12,253,746,2990,435.0,Sleepers
2016-05-10,10613,8.60999965667725,1,37,262,701,3172,416.0,NonSleepers
2016-05-11,9810,7.96000003814697,10,41,235,784,3069,354.0,NonSleepers
2016-04-12,11596,7.57000017166138,19,13,277,767,2026,441.0,Sleepers
2016-04-13,4832,3.16000008583069,0,0,226,647,1718,455.0,Sleepers
2016-04-14,17022,11.1199998855591,61,41,256,693,2324,357.0,NonSleepers
2016-04-15,16556,10.8599996566772,58,38,239,689,2254,377.0,NonSleepers
2016-04-16,5771,3.76999998092651,0,0,288,521,1831,651.0,Sleepers
2016-04-17,655,0.430000007152557,0,0,46,943,1397,350.0,NonSleepers
2016-04-18,3727,2.4300000667572,0,0,206,622,1683,520.0,Sleepers
2016-04-19,15482,10.1099996566772,69,28,249,756,2284,357.0,NonSleepers
2016-04-20,2713,1.76999998092651,0,0,148,598,1570,658.0,Sleepers
2016-04-21,12346,8.0600004196167,47,42,177,801,2066,399.0,NonSleepers
2016-04-22,11682,7.63000011444092,25,16,270,781,2105,322.0,NonSleepers
2016-04-23,4112,2.69000005722046,0,0,272,443,1776,631.0,Sleepers
2016-04-24,1807,1.17999994754791,0,0,104,582,1507,553.0,Sleepers
2016-04-25,10946,7.19000005722046,51,11,201,732,2033,433.0,Sleepers
2016-04-26,11886,7.76000022888184,40,18,238,750,2093,412.0,NonSleepers
2016-04-27,10538,6.88000011444092,16,16,206,745,1922,347.0,NonSleepers
2016-04-28,11393,7.63000011444092,49,13,165,727,1999,421.0,NonSleepers
2016-04-29,12764,8.32999992370605,46,15,270,709,2169,450.0,Sleepers
2016-05-01,5164,3.36999988555908,0,0,237,436,1747,622.0,Sleepers
2016-05-02,9769,6.38000011444092,23,9,227,724,1996,409.0,NonSleepers
2016-05-03,12848,8.39000034332275,26,29,247,812,2116,380.0,NonSleepers
2016-05-04,4249,2.76999998092651,0,0,224,651,1698,447.0,Sleepers
2016-05-05,14331,9.51000022888184,44,29,241,692,2156,419.0,NonSleepers
2016-05-06,9632,6.28999996185303,21,9,229,761,1916,400.0,NonSleepers
2016-05-07,1868,1.22000002861023,0,0,96,902,1494,442.0,Sleepers
2016-05-08,6083,4.0,3,8,210,505,1762,568.0,Sleepers
2016-05-09,11611,7.57999992370605,59,22,251,667,2272,453.0,Sleepers
2016-05-10,16358,10.710000038147,61,40,265,707,2335,418.0,NonSleepers
2016-05-11,4926,3.22000002861023,0,0,195,628,1693,463.0,Sleepers
2016-04-12,8135,6.07999992370605,86,16,140,728,3405,419.0,NonSleepers
2016-04-13,5077,3.78999996185303,15,11,144,776,2551,432.0,Sleepers
2016-04-14,8596,6.42000007629395,118,30,176,662,4022,477.0,Sleepers
2016-04-15,12087,9.07999992370605,115,54,199,695,4005,392.0,NonSleepers
2016-04-16,14269,10.6599998474121,184,56,158,472,4274,406.0,NonSleepers
2016-04-17,12231,9.14000034332275,200,37,159,525,4552,549.0,Sleepers
2016-04-18,9893,7.3899998664856,114,32,130,623,3625,527.0,Sleepers
2016-04-19,12574,9.42000007629395,108,23,111,733,3501,449.0,Sleepers
2016-04-20,8330,6.21999979019165,87,16,113,773,3192,447.0,Sleepers
2016-04-21,10830,8.09000015258789,110,74,175,670,4018,414.0,NonSleepers
2016-04-22,9172,6.84999990463257,62,30,200,823,3329,338.0,NonSleepers
2016-04-23,7638,5.71000003814697,24,24,223,627,3152,384.0,NonSleepers
2016-04-24,15764,11.7799997329712,210,65,141,425,4392,543.0,Sleepers
2016-04-25,6393,4.78000020980835,61,38,214,743,3374,421.0,NonSleepers
2016-04-26,5325,3.98000001907349,38,32,181,759,3088,354.0,NonSleepers
2016-04-27,6805,5.1399998664856,63,16,190,773,3294,424.0,NonSleepers
2016-04-28,9841,7.42999982833862,99,51,141,692,3580,361.0,NonSleepers
2016-04-29,7924,5.92000007629395,97,36,165,739,3544,459.0,Sleepers
2016-04-30,12363,9.23999977111816,207,45,163,621,4501,412.0,NonSleepers
2016-05-01,13368,9.98999977111816,194,72,178,499,4546,379.0,NonSleepers
2016-05-02,7439,5.55999994277954,37,20,235,732,3014,525.0,Sleepers
2016-05-03,11045,8.25,97,8,212,580,3795,508.0,Sleepers
2016-05-04,5206,3.89000010490417,25,9,141,631,2755,603.0,Sleepers
2016-05-10,8869,6.65000009536743,104,37,194,639,3841,504.0,Sleepers
2016-05-11,4038,3.03999996185303,45,15,63,257,1665,431.0,NonSleepers
2016-04-16,14450,10.9099998474121,7,15,518,502,2828,380.0,NonSleepers
2016-04-17,7150,5.40000009536743,0,0,312,702,2225,336.0,NonSleepers
2016-04-18,5153,3.91000008583069,0,0,241,759,2018,493.0,Sleepers
2016-04-19,11135,8.40999984741211,0,0,480,425,2606,465.0,Sleepers
2016-04-20,10449,8.02000045776367,26,10,349,587,2536,474.0,Sleepers
2016-04-21,19542,15.0100002288818,11,19,294,579,4900,508.0,Sleepers
2016-04-22,8206,6.19999980926514,0,0,402,413,2409,480.0,Sleepers
2016-04-23,11495,8.68000030517578,0,0,512,468,2651,492.0,Sleepers
2016-04-24,7623,5.76000022888184,0,0,362,711,2305,353.0,NonSleepers
2016-04-27,9411,7.1100001335144,0,0,458,417,2576,542.0,Sleepers
2016-04-28,3403,2.59999990463257,0,0,141,758,1879,393.0,NonSleepers
2016-04-29,9592,7.23999977111816,0,0,461,479,2560,600.0,Sleepers
2016-05-01,8915,6.73000001907349,0,0,397,525,2361,507.0,Sleepers
2016-05-05,9799,7.40000009536743,0,0,487,479,2636,392.0,NonSleepers
2016-05-06,3365,2.6800000667572,0,0,133,673,1838,658.0,Sleepers
2016-05-07,7336,5.53999996185303,0,0,412,456,2469,498.0,Sleepers
2016-05-08,7328,5.53000020980835,0,0,318,517,2250,555.0,Sleepers
2016-04-13,4053,2.91000008583069,17,18,85,1053,2400,235.0,NonSleepers
2016-04-14,5162,3.70000004768372,14,24,105,863,2507,423.0,NonSleepers
2016-04-15,1282,0.920000016689301,0,0,58,976,2127,391.0,NonSleepers
2016-04-12,10199,6.73999977111816,50,14,189,796,1994,366.0,NonSleepers
2016-04-13,5652,3.74000000953674,8,24,142,548,1718,630.0,Sleepers
2016-04-14,1551,1.02999997138977,0,0,86,862,1466,508.0,Sleepers
2016-04-15,5563,3.6800000667572,0,0,217,837,1756,370.0,NonSleepers
2016-04-16,13217,8.73999977111816,50,3,280,741,2173,357.0,NonSleepers
2016-04-17,10145,6.71000003814697,5,13,295,634,2027,427.0,NonSleepers
2016-04-18,11404,7.53999996185303,13,42,238,689,2039,442.0,Sleepers
2016-04-19,10742,7.09999990463257,35,41,195,659,2046,476.0,Sleepers
2016-04-20,13928,9.55000019073486,48,4,297,639,2174,418.0,NonSleepers
2016-04-21,11835,9.71000003814697,53,27,214,708,2179,451.0,Sleepers
2016-04-22,10725,7.09000015258789,30,33,240,659,2086,425.0,NonSleepers
2016-04-23,20031,13.2399997711182,58,41,347,484,2571,528.0,Sleepers
2016-04-24,5029,3.3199999332428,0,0,199,720,1705,511.0,Sleepers
2016-04-25,13239,9.27000045776367,35,31,282,637,2194,400.0,NonSleepers
2016-04-26,10433,6.90000009536743,36,7,254,680,2012,441.0,Sleepers
2016-04-27,10320,6.82000017166138,7,38,279,697,2034,455.0,Sleepers
2016-04-28,12627,8.35000038146973,38,8,288,621,2182,440.0,Sleepers
2016-04-29,10762,7.1100001335144,12,15,369,645,2254,433.0,Sleepers
2016-04-30,10081,6.65999984741211,32,16,237,731,2002,422.0,NonSleepers
2016-05-01,5454,3.60999989509583,0,0,215,722,1740,411.0,NonSleepers
2016-05-02,12912,8.53999996185303,18,39,313,655,2162,466.0,Sleepers
2016-05-03,12109,8.11999988555908,21,36,267,654,2072,394.0,NonSleepers
2016-05-04,10147,6.71000003814697,15,36,284,683,2086,442.0,Sleepers
2016-05-05,10524,6.96000003814697,14,22,305,591,2066,467.0,Sleepers
2016-05-06,5908,3.91000008583069,0,0,299,717,1850,443.0,Sleepers
2016-05-07,6815,4.5,0,0,328,745,1947,298.0,NonSleepers
2016-05-08,4188,2.76999998092651,0,14,151,709,1659,541.0,Sleepers
2016-05-09,12342,8.72000026702881,43,21,231,607,2105,489.0,Sleepers
2016-05-10,15448,10.210000038147,62,34,275,626,2361,469.0,Sleepers
2016-05-11,6722,4.44000005722046,24,7,199,709,1855,452.0,Sleepers
2016-04-12,11317,8.40999984741211,59,6,153,745,2772,514.0,Sleepers
2016-04-13,5813,3.61999988555908,31,26,155,744,2516,451.0,Sleepers
2016-04-14,9123,6.11999988555908,35,32,189,787,2734,472.0,Sleepers
2016-04-15,8585,5.67000007629395,30,21,139,864,2395,377.0,NonSleepers
2016-04-19,10688,7.28999996185303,67,69,124,671,2944,472.0,Sleepers
2016-04-20,14365,10.6400003433228,87,13,145,797,2997,492.0,Sleepers
2016-04-21,9469,6.17999982833862,19,6,206,758,2463,390.0,NonSleepers
2016-04-22,9753,6.53000020980835,58,59,153,762,2846,428.0,NonSleepers
2016-04-25,10091,6.82000017166138,69,39,129,706,2752,446.0,Sleepers
2016-04-26,10387,7.07000017166138,70,33,132,726,2781,485.0,Sleepers
2016-04-27,11107,8.34000015258789,55,6,145,829,2693,469.0,Sleepers
2016-04-28,11584,7.80000019073486,54,48,161,810,2862,354.0,NonSleepers
2016-04-30,14560,9.40999984741211,42,17,308,584,2995,485.0,Sleepers
2016-05-01,12390,8.06999969482422,30,15,258,685,2730,388.0,NonSleepers
2016-05-02,10052,6.80999994277954,66,26,139,737,2754,440.0,Sleepers
2016-05-03,10288,6.76000022888184,57,36,152,761,2754,456.0,Sleepers
2016-05-04,10988,8.3100004196167,45,12,135,843,2655,420.0,NonSleepers
2016-05-06,12461,8.38000011444092,84,35,154,834,2924,322.0,NonSleepers
2016-05-07,12827,8.47999954223633,20,42,209,621,2739,530.0,Sleepers
2016-05-08,10677,7.09999990463257,32,27,147,695,2534,481.0,Sleepers
2016-05-09,13566,9.10999965667725,67,50,171,743,2960,427.0,NonSleepers
2016-05-11,9572,6.51999998092651,57,40,128,757,2735,451.0,Sleepers
2016-04-20,15108,12.1899995803833,89,5,158,695,3043,486.0,Sleepers
2016-04-23,22359,17.1900005340576,125,14,223,741,3554,331.0,NonSleepers
2016-04-12,7626,6.05000019073486,65,15,156,723,3635,338.0,NonSleepers
2016-04-13,12386,9.81999969482422,116,14,169,680,4079,447.0,Sleepers
2016-04-14,13318,10.5600004196167,123,21,174,699,4163,424.0,NonSleepers
2016-04-15,14461,11.4700002670288,60,23,190,729,3666,513.0,Sleepers
2016-04-16,11207,8.89000034332275,64,21,142,563,3363,611.0,Sleepers
2016-04-17,2132,1.69000005722046,0,0,93,599,2572,525.0,Sleepers
2016-04-18,13630,10.8100004196167,117,10,174,720,4157,398.0,NonSleepers
2016-04-19,13070,10.3599996566772,120,19,154,737,4092,387.0,NonSleepers
2016-04-20,9388,7.44000005722046,82,8,169,763,3787,381.0,NonSleepers
2016-04-21,15148,12.0100002288818,137,16,145,677,4236,396.0,NonSleepers
2016-04-22,12200,9.67000007629395,113,12,159,769,4044,441.0,Sleepers
2016-04-23,5709,4.53000020980835,19,10,136,740,2908,565.0,Sleepers
2016-04-24,3703,2.94000005722046,0,0,135,734,2741,458.0,Sleepers
2016-04-25,12405,9.84000015258789,117,16,141,692,4005,388.0,NonSleepers
2016-04-25,12405,9.84000015258789,117,16,141,692,4005,388.0,NonSleepers
2016-04-26,16208,12.8500003814697,90,18,161,593,3763,550.0,Sleepers
2016-04-27,7359,5.84000015258789,4,4,192,676,3061,531.0,Sleepers
